kanji,heisig_number,heisig_keyword,components,primitive_count
一,1,one,
二,2,two,
三,3,three,
四,4,four,pent in; human legs
五,5,five,
六,6,six,top hat; animal legs
七,7,seven,diced
八,8,eight,
九,9,nine,baseball
十,10,ten,needle
口,11,mouth,
日,12,day,sun
月,13,month,moon; flesh; part of the body
田,14,rice field,brains
目,15,eye,
古,16,old,tombstone; gravestone; church; ten; needle; mouth
吾,17,I,five; mouth
冒,18,risk,sun; day; eye
朋,19,companion,moon; month; flesh; part of the body
明,20,bright,sun; day; moon; month; flesh; part of the body
唱,21,chant,mouth; prosperous; sun; day; tongue wagging
晶,22,sparkle,day; sun
品,23,goods,mouth
呂,24,spine,mouth; drop
昌,25,prosperous,sun; day
早,26,early,sunflower; sun; day; ten; needle
旭,27,rising sun,nine; baseball; sun; day
世,28,generation,ten; twenty
胃,29,stomach,rice field; brains; moon; month; flesh; part of the body
旦,30,nightbreak,sun; one; floor
胆,31,gall bladder,gallbladder; moon; month; flesh; part of the body; nightbreak; sun; day; one; floor
亘,32,span,one; ceiling; sun; day; one; floor
凹,33,concave,
凸,34,convex,
旧,35,olden times,stick; sun; day
自,36,oneself,drop; eye
白,37,white,drop; sun; day
百,38,hundred,one; ceiling; white; dove
中,39,in,stick; mouth
千,40,thousand,drop; ten; needle
舌,41,tongue,thousand; drop; ten; needle; mouth
升,42,measuring box,thousand; drop; ten; needle
昇,43,rise up,sun; day; measuring box; thousand; drop; ten; needle
丸,44,round,drop; nine; baseball
寸,45,measurement,glue; drop; ten with a hook
肘,46,elbow,moon; month; flesh; part of the body; glue
専,47,specialty,ten; needle; rice field; brains; glue
博,48,Dr.,ten; needle; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue
占,49,fortune-telling,magic wand; augury; divining rod; mouth
上,50,above,magic wand; augury; divining rod; one; floor
下,51,below,one; ceiling; magic wand; augury; divining rod
卓,52,eminent,magic wand; augury; divinging rod; sunflower; sun; day; ten; needle
朝,53,morning,mist; ten; needle; early; sun; day; moon; month; flesh; part of the body
嘲,54,derision,mouth; morning; mist; ten; needle; early; sun; day; moon; month; flesh; part of the body
只,55,only,mouth; animal legs; eight
貝,56,shellfish,clam; oyster; eye; animal legs; eight
唄,57,pop song,mouth; shellfish; clam; oyster; eye; animal legs; eight
貞,58,upright,magic wand; augury; divining rod; shellfish; clam; oyster; eye; animal legs; eight
員,59,employee,mouth; shellfish; clam; oyster; eye; animal legs; eight
貼,60,post a bill,shellfish; clam; oyster; eye; animal legs; eight; fortune-telling; magic wand; augury; mouth
見,61,see,eye; human legs
児,62,newborn babe,olden times; stick; sun; day; human legs
元,63,beginning,two; human legs
頁,64,page,one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight
頑,65,stubborn,beginning; two; human legs; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight
凡,66,mediocre,drop; wind
負,67,defeat,bound up; shellfish; clam; oyster; eye; animal legs; eight
万,68,ten thousand,one; ceiling; bound up
句,69,phrase,bound up; mouth
肌,70,texture,moon; month; flesh; part of the body; wind
旬,71,decameron,bound up; sun; day
勺,72,ladle,bound up; drop
的,73,bull's eye,bull’s eye; white; dove; ladle; bound up; drop
首,74,neck,horns; nose; one; ceiling; drop; eye
乙,75,fish guts,fishguts; fishhook
乱,76,riot,tongue; thousand; drop; ten; needle; mouth; fishhook
直,77,straightaway,ten; needle; eye; fishhook
具,78,tool,eye; one; animal legs; eight
真,79,true,ten; needle; eye; tool; one; animal legs; eight
工,80,craft,artificial
左,81,left,by one’s side; craft
右,82,right,by one’s side; mouth
有,83,possess,by one’s side; moon; month; flesh; part of the body
賄,84,bribe,shellfish; clam; oyster; eye; animal legs; eight; possess; by one’s side; moon; month; flesh; part of the body
貢,85,tribute,craft; shellfish; clam; oyster; eye; animal legs; eight
項,86,paragraph,craft; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight
刀,87,sword,dagger
刃,88,blade,drop; sword; dagger
切,89,cut,seven; diced; sword; dagger
召,90,seduce,sword; dagger; mouth
昭,91,shining,sun; day; seduce; summon; sword; dagger; mouth
則,92,rule,shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber
副,93,vice-,wealth; one; ceiling; mouth; rice field; brains; sword; sabre; saber
別,94,separate,mouth; bound up; sword; sabre; saber
丁,95,street,nail; spike
町,96,village,rice field; brains; street; nail; spike
