kanji,joyo_index,radical,strokes,grade,english_meaning,on_kana,kun_kana
亜,1,二,7,S,"sub-, Asia",ア,
哀,2,口,9,S,pathetic,アイ,あわ-れ、あわ-れむ
挨,3,手,10,S,push open,アイ,
愛,4,心,13,4,love,アイ,
曖,5,日,17,S,not clear,アイ,
悪,6,心,11,3,bad,アク、オ,わる-い
握,7,手,12,S,grip,アク,にぎ-る
圧,8,土,5,5,pressure,アツ,
扱,9,手,6,S,handle,,あつか-う
宛,10,宀,8,S,allocate,,あ-てる
嵐,11,山,12,S,storm,,あらし
安,12,宀,6,3,cheap,アン,やす-い
案,13,木,10,4,plan,アン,
暗,14,日,13,3,dark,アン,くら-い
以,15,人,5,4,by means of,イ,
衣,16,衣,6,4,clothes,イ,ころも
位,17,人,7,4,rank,イ,くらい
囲,18,囗,7,5,surround,イ,かこ-む、かこ-う
医,19,酉,7,3,doctor,イ,
依,20,人,8,S,reliant,イ、（エ）,
委,21,女,8,3,committee,イ,ゆだ-ねる
威,22,女,9,S,intimidate,イ,
為,23,爪,9,S,do,イ,
畏,24,田,9,S,fear,イ,おそ-れる
胃,25,肉,9,6,stomach,イ,
尉,26,寸,11,S,military officer,イ,
異,27,田,11,6,uncommon,イ,こと
移,28,禾,11,5,shift,イ,うつ-る、うつ-す
萎,29,艸,11,S,wither,イ,な-える
偉,30,人,12,S,admirable,イ,えら-い
椅,31,木,12,S,chair,イ,
彙,32,彐,13,S,same kind,イ,
意,33,心,13,3,idea,イ,
違,34,辵,13,S,differ,イ,ちが-う、ちが-える
維,35,糸,14,S,fiber,イ,
慰,36,心,15,S,consolation,イ,なぐさ-める、なぐさ-む
遺,37,辵,15,6,bequeath,イ、（ユイ）,
緯,38,糸,16,S,horizontal,イ,
域,39,土,11,6,range,イキ,
育,40,肉,8,3,nurture,イク,そだ-つ、そだ-てる、はぐく-む
一,41,一,1,1,one,イチ、イツ,ひと、ひと-つ
壱,42,士,7,S,one (falsification prevention),イチ,
逸,43,辵,11,S,deviate,イツ,
茨,44,艸,9,4,thorn,,（いばら）[6]
芋,45,艸,6,S,potato,,いも
引,46,弓,4,2,pull,イン,ひ-く、ひ-ける
印,47,卩,6,4,mark,イン,しるし
因,48,囗,6,5,cause,イン,よ-る
咽,49,口,9,S,throat,イン,
姻,50,女,9,S,matrimony,イン,
員,51,口,10,3,member,イン,
院,52,阜,10,3,institution,イン,
淫,53,水,11,S,lewdness,イン,みだ-ら
陰,54,阜,11,S,shade,イン,かげ、かげ-る
飲,55,食,12,3,drink,イン,の-む
隠,56,阜,14,S,conceal,イン,かく-す、かく-れる
韻,57,音,19,S,rhyme,イン,
右,58,口,5,1,right (direction),ウ、ユウ,みぎ
宇,59,宀,6,6,eaves,ウ,
羽,60,羽,6,2,feather,ウ,は、はね
雨,61,雨,8,1,rain,ウ,あめ、（あま）
唄,62,口,10,S,songs with samisen,,（うた）
鬱,63,鬯,29,S,depression,ウツ,
畝,64,田,10,S,furrow,,うね
浦,65,水,10,S,bay,,うら
運,66,辵,12,3,carry,ウン,はこ-ぶ
雲,67,雨,12,2,cloud,ウン,くも
永,68,水,5,5,eternity,エイ,なが-い
泳,69,水,8,3,swim,エイ,およ-ぐ
英,70,艸,8,4,England,エイ,
映,71,日,9,6,reflect,エイ,うつ-る、うつ-す、は-える
栄,72,木,9,4,prosperity,エイ,さか-える、は-え、は-える
営,73,火,12,5,manage,エイ,いとな-む
詠,74,言,12,S,recitation,エイ,よ-む
影,75,彡,15,S,shadow,エイ,かげ
鋭,76,金,15,S,pointed,エイ,するど-い
衛,77,行,16,5,defense,エイ,
易,78,日,8,5,easy,エキ、イ,やさ-しい
疫,79,疒,9,S,epidemic,エキ、（ヤク）,
