# rank	lemma	count
1	何	101788
2	あなた	61399
3	言	53276
4	行	45074
5	人	40049
6	分	36394
7	来る	34715
8	知	34519
9	事	33839
10	彼女	32876
11	お前	31487
12	話	31154
13	か	26236
14	者	23768
15	聞	20548
16	死	19783
17	ああ	18777
18	殺	18531
19	前	17841
20	中	17777
21	達	17657
22	気	17629
23	一	16620
24	必要	16339
25	あの	15886
26	大丈夫	15284
27	自分	14818
28	持	14292
29	本当	14125
30	時間	14006
31	我々	13993
32	的	13663
33	無	13527
34	ありがとう	13421
35	家	13409
36	日	12695
37	会	12675
38	年	12453
39	手	11675
40	仕事	11427
41	一緒	10919
42	後	10775
43	出来	10766
44	目	10646
45	入	10531
46	他	10409
47	電話	9891
48	様	9047
49	上	9017
50	車	8985
51	所	8981
52	あんた	8673
53	度	8618
54	同じ	8326
55	子	8322
56	場所	8206
57	問題	7963
58	子供	7948
59	間	7880
60	金	7806
61	行く	7751
62	愛	7677
63	名前	7411
64	信	7400
65	さあ	7250
66	取	7125
67	使	7023
68	少し	6985
69	生きる	6939
70	全て	6930
71	世界	6865
72	教え	6852
73	通り	6843
74	入れる	6739
75	人間	6560
76	今日	6361
77	変	6231
78	女	6209
79	着	6194
80	物	6191
81	呼	6091
82	じゃあ	6001
83	止める	5915
84	あれ	5881
85	心配	5839
86	下	5752
87	母	5750
88	外	5720
89	連れ	5715
90	力	5701
91	回	5634
92	関係	5602
93	家族	5558
94	起き	5507
95	神	5487
96	起	5477
97	意味	5446
98	警察	5401
99	最後	5384
100	こ	5362
101	作	5344
102	次	5224
103	息子	5095
104	わ	5038
105	全部	5012
106	書	4972
107	捜査	4939
108	別	4782
109	情報	4773
110	理由	4744
111	数	4672
112	一人	4585
113	部屋	4538
114	急	4535
115	以上	4527
116	人生	4514
117	が	4473
118	食べる	4467
119	取る	4455
120	合	4445
121	続ける	4387
122	女性	4384
123	始める	4367
124	事件	4366
125	まあ	4363
126	最初	4333
127	連絡	4317
128	立	4307
129	調べ	4296
130	下す	4270
131	二	4264
132	安全	4256
133	受ける	4241
134	楽しい	4237
135	殺人	4194
136	万	4150
137	友達	4095
138	約束	4086
139	先	4049
140	結婚	4020
141	感じ	4008
142	無理	3976
143	得	3903
144	言う	3893
145	送	3882
146	あいつ	3871
147	最高	3838
148	計画	3789
149	不	3786
150	仲間	3777
151	可能	3776
152	あと	3770
153	明日	3740
154	聞こえ	3726
155	確認	3644
156	命	3619
157	動	3553
158	与える	3530
159	あげる	3515
160	全員	3510
161	二人	3482
162	理解	3479
163	開ける	3460
164	機	3458
165	友人	3449
166	大	3429
167	づ	3401
168	離れ	3388
169	戦	3337
170	先生	3309
171	犯人	3308
172	置る	3270
173	ある	3247
174	質問	3246
175	感	3241
176	あぁ	3239
177	第	3189
178	ドア	3170
179	伝える	3169
180	本	3163
181	用	3160
182	素晴らし	3153
183	乗	3133
184	感謝	3076
185	正す	3070
186	言葉	3047
187	２人	3011
188	座	3010
189	強	3005
190	写真	3001
191	説明	2989
192	十	2987
193	国	2987
194	博士	2980
195	絶対	2976
196	向く	2949
197	野郎	2947
198	名	2945
199	番	2861
200	王	2785
201	一番	2740
202	重要	2737
203	近	2735
204	状況	2723
205	水	2720
206	元気	2709
207	やあ	2697
208	変え	2681
209	週間	2667
210	父親	2663
211	役	2649
212	間違い	2645
213	等	2642
214	消える	2641
215	了解	2610
216	員	2600
217	相手	2589
218	声	2584
219	音	2564
220	多い	2557
221	話す	2557
222	会える	2550
223	過ぎる	2541
224	体	2538
225	会社	2529
226	簡単	2513
227	選	2503
228	残念	2497
229	自由	2496
230	元	2493
231	通	2488
232	読	2477
233	口	2471
234	自身	2466
235	生	2456
236	一体	2453
237	人々	2452
238	報告	2452
239	対	2437
240	語	2437
241	アメリカ	2423
242	命令	2410
243	大統領	2406
244	月	2401
245	警官	2390
246	要	2386
247	決める	2383
248	学校	2379
249	張	2378
250	真実	2368
251	初めて	2342
252	学	2321
253	大変	2309
254	あそこ	2298
255	戦争	2295
256	武器	2277
257	店	2271
258	落ち	2247
259	刑事	2233
260	母親	2233
261	運	2221
262	光	2220
263	違	2220
264	気持ち	2219
265	記録	2197
266	あっ	2192
267	実	2174
268	手伝	2172
269	存在	2157
270	住	2155
271	病院	2141
272	責任	2135
273	行動	2122
274	普通	2121
275	足	2116
276	大きな	2115
277	監視	2114
278	協力	2080
279	速	2075
280	多分	2072
281	実際	2056
282	地球	2052
283	止む	2052
284	生活	2051
285	任せる	2045
286	気分	2041
287	解決	2019
288	結果	2006
289	研究	2003
290	調査	2003
291	場	1993
292	大きい	1964
293	何処	1958
294	多	1956
295	開	1956
296	発見	1954
297	１人	1951
298	大事	1948
299	ヶ月	1947
300	なあ	1941
301	興味	1938
302	運転	1930
303	番号	1920
304	状態	1916
305	上手	1904
306	場合	1902
307	済	1902
308	朝	1898
309	刑務	1897
310	今度	1891
311	以外	1884
312	信ずる	1884
313	直	1884
314	共	1878
315	歌	1869
316	飛行	1867
317	知る	1858
318	あまり	1857
319	目的	1850
320	付	1848
321	近く	1845
322	後ろ	1842
323	面白い	1840
324	売	1836
325	客	1830
326	弁護	1828
327	特別	1819
328	昨日	1811
329	認める	1807
330	少ない	1803
331	不明	1802
332	死体	1793
333	医者	1791
334	装置	1791
335	唯一	1782
336	あんな	1776
337	信用	1772
338	限り	1772
339	美しい	1757
340	生まれ	1754
341	用意	1751
342	持つ	1745
343	映画	1742
344	移動	1742
345	美咲	1741
346	取引	1740
347	最近	1738
348	現場	1732
349	事故	1731
350	始	1731
351	連中	1726
352	付け	1724
353	有	1721
354	過去	1713
355	全く	1704
356	あら	1701
357	完全	1698
358	選択	1698
359	信頼	1692
360	町	1687
361	何故	1684
362	精神	1676
363	三	1674
364	身	1673
365	出	1669
366	女の子	1663
367	記憶	1661
368	頑	1646
369	引き	1627
370	非常	1626
371	空	1619
372	素敵	1612
373	食	1608
374	降り	1607
375	価値	1602
376	内	1597
377	最も	1595
378	両親	1589
379	人物	1588
380	馬鹿	1582
381	州	1576
382	無事	1576
383	警備	1576
384	以前	1575
385	聞ける	1573
386	部	1571
387	決して	1569
388	銀行	1568
389	裁判	1553
390	た	1552
391	大学	1548
392	今回	1533
393	経験	1524
394	本物	1521
395	込	1521
396	化る	1515
397	正直	1508
398	未来	1506
399	無駄	1505
400	年間	1504
401	島	1503
402	現れ	1503
403	消	1495
404	病気	1485
405	点	1468
406	風	1466
407	だ	1465
408	進	1458
409	結構	1456
410	治療	1454
411	予定	1451
412	許可	1443
413	勇気	1441
414	最悪	1441
415	本気	1441
416	全然	1436
417	作戦	1433
418	任務	1430
419	品	1429
420	日本	1429
421	成功	1425
422	向こう	1416
423	地	1405
424	小さな	1403
425	科学	1402
426	隊	1394
427	付く	1392
428	事実	1391
429	全	1384
430	地下	1374
431	無し	1374
432	ま	1370
433	関	1367
434	戦い	1361
435	少年	1353
436	爆発	1352
437	現実	1350
438	保護	1349
439	別れ	1344
440	あー	1341
441	さ	1339
442	時代	1337
443	主	1328
444	式	1325
445	使える	1323
446	組織	1323
447	馬	1317
448	落ち着ける	1315
449	動物	1312
450	線	1309
451	技術	1308
452	続	1306
453	個人	1303
454	局	1303
455	期待	1301
456	調子	1298
457	利用	1294
458	館	1293
459	主人	1292
460	毎日	1281
461	当然	1278
462	患者	1273
463	あたし	1268
464	今朝	1262
465	立て	1236
466	火	1225
467	地獄	1223
468	山	1222
469	屋	1220
470	陛下	1217
471	小い	1210
472	木	1207
473	解	1200
474	世話	1199
475	平気	1199
476	能力	1199
477	指	1195
478	理子	1191
479	検査	1187
480	星	1186
481	アレックス	1185
482	代わり	1173
483	構	1171
484	警部	1171
485	幸運	1170
486	食事	1170
487	駄目	1166
488	侵入	1165
489	緊急	1165
490	親父	1164
491	気付	1160
492	離	1139
493	原因	1138
494	警告	1135
495	山里	1133
496	特に	1127
497	部下	1125
498	運命	1117
499	到着	1113
500	自殺	1113
501	常	1111
502	現在	1109
503	一部	1108
504	大切	1106
505	行為	1106
506	遺体	1106
507	に	1102
508	曲	1101
509	感情	1095
510	夕食	1094
511	達也	1089
512	位	1088
513	手紙	1087
514	超	1085
515	混乱	1082
516	支配	1081
517	受け入れ	1080
518	影響	1079
519	行方	1077
520	半分	1075
521	少女	1073
522	誕生	1072
523	連れる	1072
524	施設	1070
525	殺す	1070
526	向ける	1069
527	人類	1066
528	機会	1066
529	器	1063
530	殺し	1060
531	上げ	1058
532	決	1055
533	正確	1053
534	向	1051
535	活動	1049
