kanji,joyo_index,heisig_number,strokes,grade,slug,keyword_id,keyword,story,on_reading,kun_readings,category,k_code,joyo_rank,radical,radical_index,stroke_group,unicode,svg_file,reserved1,reserved2,status,lesson_start,lesson_end,book_number,image,display_keyword
一,41,1,1,1,one,one,one,イチ、イツ,ひと、ひと-つ,joyo,K0041,41,1,3,1,U4E00,04e00.svg,,,draft,41–60,koi.png,,,, 
二,1577,2,2,1,two,two,two,ニ,ふた、ふた-つ,joyo,K1577,1577,4,79,17,U4E8C,04e8c.svg,,,draft,1561–1580,bamboo.png,,,, 
三,744,3,3,1,three,three,three,サン,み、み-つ、みっ-つ,joyo,K0744,744,2,38,4,U4E09,04e09.svg,,,draft,741–760,castle.png,,,, 
四,767,4,5,1,four,four,four,シ,よ、よ-つ、よっ-つ、よん,joyo,K0767,767,2,39,7,U56DB,056db.svg,,,draft,761–780,koi.png,,,, 
五,576,5,4,1,five,five,five,ゴ,いつ、いつ-つ,joyo,K0576,576,2,29,16,U4E94,04e94.svg,,,draft,561–580,mountain.png,,,, 
六,2125,6,4,1,six,six,six,ロク,む、む-つ、むっ-つ、（むい）,joyo,K2125,2125,5,107,5,U516D,0516d.svg,,,draft,2121–2140,mountain.png,,,, 
七,829,7,2,1,seven,seven,seven,シチ,なな、なな-つ、（なの）,joyo,K0829,829,2,42,9,U4E03,04e03.svg,,,draft,821–840,tree.png,,,, 
八,1647,8,2,1,eight,eight,eight,ハチ,や、や-つ、やっ-つ、（よう）,joyo,K1647,1647,4,83,7,U516B,0516b.svg,,,draft,1641–1660,mountain.png,,,, 
九,359,9,2,1,nine,nine,nine,キュウ、ク,ここの、ここの-つ,joyo,K0359,359,1,18,19,U4E5D,04e5d.svg,,,draft,341–360,tree.png,,,, 
十,907,10,2,1,ten,ten,ten,ジュウ、ジッ,とお、と,joyo,K0907,907,2,46,7,U5341,05341.svg,,,draft,901–920,kujira.png,,,, 
口,587,11,3,1,mouth,mouth,mouth,コウ、ク,くち,joyo,K0587,587,2,30,7,U53E3,053e3.svg,,,draft,581–600,tree.png,,,, 
日,1583,12,4,1,day,day,day,ニチ、ジツ,ひ、か,joyo,K1583,1583,4,80,3,U65E5,065e5.svg,,,draft,1581–1600,castle.png,,,, 
月,513,13,4,1,month,month,month,ゲツ、ガツ,つき,joyo,K0513,513,2,26,13,U6708,06708.svg,,,draft,501–520,castle.png,,,, 
田,1480,14,5,1,rice_field,rice field,ricefield,デン,た,joyo,K1480,1480,3,74,20,U7530,07530.svg,,,draft,1461–1480,castle.png,,,, 
目,1947,15,5,1,eye,eye,eye,モク、（ボク）,め、（ま）,joyo,K1947,1947,4,98,7,U76EE,076ee.svg,,,draft,1941–1960,castle.png,,,, 
古,559,16,5,2,old,old,old,コ,ふる-い、ふる-す,joyo,K0559,559,2,28,19,U53E4,053e4.svg,,,draft,541–560,kujira.png,,,, 
吾,NA,17,7,H,i,I,i,ゴ,わーが,heisig_extra,heisig_extra,K2137,2137,5,107,17,U543E,u543e.svg,,,draft,2121–2140,mountain.png,,, 
冒,1862,18,9,S,risk,risk,risk,ボウ,おか-す,joyo,K1862,1862,4,94,2,U5192,05192.svg,,,draft,1861–1880,kujira.png,,,, 
朋,NA,19,8,H,companion,companion,companion,,,heisig_extra,heisig_extra,K2138,2138,5,107,18,U670B,u670b.svg,,,draft,2121–2140,mountain.png,,, 
