kanji,heisig_number,heisig_keyword,heisig_components,kml_primitives,primitive_count,cluster_components,collapse_to
一,1,one,floor,一,1,one,一
二,2,two,floor; floor,一|一,2,two,二
三,3,three,floor; floor; floor,一|一|一,3,three,三
四,4,four,pent in; human legs,口|儿,2,four,四
五,5,five,five,五,1,five,五
六,6,six,top hat;split,亠|八,2,lid|split,六
七,7,seven,diced,七,1,cut,七
八,8,eight,expand,八,1,split,八
九,9,nine,baseball,九,1,ball,九
十,10,ten,needle,十,1,ten,十
口,11,mouth,mouth,口,1,mouth,口
日,12,day,sun,日,1,sun,日
月,13,moon,moon; flesh,月,1,moon,月
田,14,rice field,brains,田,1,field,田
目,15,eye,eye,目,1,eye,目
古,16,old,tombstone; gravestone; church; ten; needle; mouth,十|口,2,old,古
吾,17,I,five; mouth,五|口,2,I,吾
冒,18,risk,sun; eye,日|目,2,risk,冒
朋,19,companion,moon,月|月,2,companion,朋
明,20,bright,sun; moon,日|月,2,bright,明
唱,21,chant,mouth; prosperous; sun; tongue wagging,口|日|日,3,chant,唱
晶,22,sparkle,day; sun,日|日|日,3,sparkle,晶
品,23,goods,mouth,口|口|口,3,goods,品
呂,24,spine,mouth; drop,口|丶|口,2,spine,呂
昌,25,prosperous,sun;sun,日|日,2,prosperous,昌
早,26,early,sunflower; sun; ten; needle,日|十,2,early,早
旭,27,rising sun,nine; baseball, 九|日,2,rising sun,旭
世,28,generation,ten; twenty,十|十|一,3,generation,世
胃,29,stomach,rice field; brains; moon,田|月,2,stomach,胃
旦,30,nightbreak,sun; one; floor,日|一,2,nightbreak,旦
胆,31,gall bladder,gallbladder; moon; nightbreak; sun; one; floor,月|旦,2,gall bladder,胆
亘,32,span,one; ceiling; sun; one; floor,一|日|一,3,span,亘
凹,33,concave,,concave,1,concave,凹
凸,34,convex,,convex,1,convex,凸
旧,35,olden times,vertical stroke; sun,丨|日,2,olden times,旧
自,36,oneself,drop; eye,丶|目,2,oneself,自
白,37,white,drop; sun,丶|日,2,white,白
百,38,hundred,one; ceiling; white; dove,一|白,2,hundred,百
中,39,in,stick; mouth,口|丨,2,in,中
千,40,thousand,drop; ten; needle,丶|十,2,thousand,千
舌,41,tongue,thousand; drop; ten; needle; mouth,千|口,2,tongue,舌
升,42,measuring box,thousand; drop; ten; needle,丶|十|十,3,measuring box,升
昇,43,rise up,sun; measuring box; thousand; drop; ten; needle,日|升,2,rise up,昇
丸,44,round,drop; nine; baseball,丶|九,2,round,丸
寸,45,measurement,glue; drop; ten with a hook,十|丶|乙,3,measurement,寸
肘,46,elbow,moon; glue,月|寸,2,elbow,肘
専,47,specialty,ten; needle; rice field; brains; glue,十|田|寸,3,specialty,専
博,48,Dr.,ten; needle; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,十|専,2,doctor,博
占,49,fortune-telling,magic wand; augury; divining rod; mouth,卜|口,2,fortune-telling,占
上,50,above,magic wand; augury; divining rod; one; floor,卜|一,2,above,上
下,51,below,one; ceiling; magic wand; augury; divining rod,一|卜,2,below,下
卓,52,eminent,magic wand; augury; divinging rod; sunflower; sun; ten; needle,卜|早,2,eminent,卓
朝,53,morning,mist; ten; needle; early; sun; moon,十|早|月,3,morning,朝
嘲,54,derision,mouth; morning; mist; ten; needle; early; sun; moon,口|朝,2,derision,嘲
只,55,only,mouth; animal legs; eight,口|八,2,only,只
貝,56,shellfish,clam; oyster; eye; animal legs; eight,目|八,2,shellfish,貝
唄,57,pop song,mouth; shellfish; clam; oyster; eye; animal legs; eight,口|貝,2,pop song,唄
貞,58,upright,magic wand; augury; divining rod; shellfish; clam; oyster; eye; animal legs; eight,卜|貝,2,upright,貞
員,59,employee,mouth; shellfish; clam; oyster; eye; animal legs; eight,口|貝,2,employee,員
貼,60,post a bill,shell; fortune-telling; magic wand; augury; mouth,貝|占,2,post a bill,貼
見,61,see,eye; human legs,目|儿,2,see,見
児,62,newborn babe,olden times; stick; sun; human legs,一|見,2,newborn babe,児
元,63,beginning,two; human legs,二|儿,2,beginning,元
頁,64,page,one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,頁,1,page,頁
頑,65,stubborn,beginning; two; human legs; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,元|頁,2,stubborn,頑
凡,66,mediocre,drop; wind,几|丶,2,mediocre,凡
負,67,defeat,bound up; shellfish; clam; oyster; eye; animal legs; eight,⺈|貝,2,defeat,負
万,68,ten thousand,one; ceiling; bound up,一|⼓,2,ten thousand,万
旬,69,phrase,wrapping; mouth,⼓|口,2,phrase,旬
肌,70,texture,moon; wind,月|几,2,texture,肌
勺,72,ladle,bound up; drop,⼓|丶,2,ladle,勺
的,73,bull's eye,bull’s eye; white; dove; ladle; bound up; drop,白|勺,1,bull's eye,的
首,74,neck,horns; nose; one; ceiling; drop; eye,首,１,neck,首
乙,75,fish guts,fishguts; fishhook,乙,1,fish guts,乙
乱,76,riot,tongue; thousand; drop; ten; needle; mouth; fishhook,舌|⺃,2,riot,乱
直,77,straightaway,ten; needle; eye; fishhook,十|目,2,straightaway,直
具,78,tool,eye; one; animal legs; eight,目|一|八,3,tool,具
真,79,true,ten; needle; eye; tool; one; animal legs; eight,十|具,2,true,真
工,80,craft,artificial,工,1,craft,工
左,81,left,by one’s side; craft,工,1,left,左
右,82,right,by one’s side; mouth,口,1,right,右
有,83,possess,by one’s side; moon,月,2,possess,有
賄,84,bribe,shell; possess; by one’s side; moon,貝|有,2,bribe,賄
貢,85,tribute,craft; shellfish; clam; oyster; eye; animal legs; eight,工|貝,2,tribute,貢
項,86,paragraph,craft; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,工|頁,2,paragraph,項
刀,87,sword,dagger,刀,1,sword,刀
刃,88,blade,drop; sword; dagger,刀|丶,1,blade,刃
切,89,cut,seven; diced; sword; dagger,七|刀,1,cut,切
召,90,seduce,sword; dagger; mouth,刀|口,1,seduce,召
昭,91,shining,sun; seduce; summon; sword; dagger; mouth,日|召,2,shining,昭
則,92,rule,shell; sword; sabre; saber,貝|⺉,2,rule,則
副,93,vice-,wealth; one; ceiling; mouth; rice field; brains; sword; sabre; saber,一|口|田|⺉,4,vice-,副
別,94,separate,mouth; bound up; sword; sabre; saber,口|刀|⺉,3,separate,別
丁,95,street,nail; spike,一|乙,2,street,丁
町,96,village,rice field; brains; street; nail; spike,田|丁,2,village,町
可,97,can,mouth; street; street; nail; spike,丁|口,2,can,可
頂,98,place on the head,street; nail; spike; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,丁|頁,2,place on the head,頂
子,99,child,,子,1,child,子
孔,100,cavity,child; fishhook,子|⺃,1,cavity,孔
了,101,complete,child with arms wrapped up,,0,complete,了
女,102,woman,,女,1,woman,女
好,103,fond,woman; child,女|子,2,fond,好
如,104,likeness,woman; mouth,女|口,2,likeness,如
母,105,mama,mother; breasts,女|丶,3,mama,母
貫,106,pierce,mama; mother; breasts; oyster; shellfish; clam; oyster; eye; animal legs; eight,毌|貝,2,pierce,貫
兄,107,elder brother,teenager; mouth; human legs,口|儿,2,elder brother,兄
呪,108,curse,mouth; elder brother; teenager; mouth; human legs,口|兄,2,curse,呪
克,109,overcome,ten; needle; elder brother; teenager; mouth; human legs,十|口|legs,3,overcome,克
小,110,little,small,小,1,little,小
少,111,few,little; small; drop,小|丶,2,few,
大,112,large,St. Bernard,,0,large,
多,113,many,evening,evening,1,many,
夕,114,evening,,evening,1,evening,
汐,115,eventide,water; water droplets; water pistol; evening,水|evening,2,eventide,
外,116,outside,evening; magic wand; augury,evening,1,outside,
名,117,name,evening; mouth,evening|口,2,name,
石,118,stone,cliff; mouth,cliff|口,2,stone,
肖,119,resemblance,spark; candle; small; little; moon,小|月,3,resemblance,
硝,120,nitrate,stone; rock; resemblance; spark; candle; small; little; moon,石|小|月,4,nitrate,
砕,121,smash,stone; rock; ninety; nine; baseball; ten; needle,石|ball|十,3,smash,
砂,122,sand,stone; rock; few,石,1,sand,
妬,123,jealous,woman; stone; rock,女|石,2,jealous,
削,124,plane,resemblance; spark; candle; small; little; moon; sword; sabre; saber,小|月,3,plane,
光,125,ray,small; little; human legs,小|legs,2,ray,
太,126,plump,large; St. Bernard; drop,丶,1,plump,
器,127,utensil,mouth; large; St. Bernard,口,1,utensil,
臭,128,stinking,nose; drop; eye; large; St. Bernard,鼻|丶|目,3,stinking,
嗅,129,sniff,,,0,sniff,
妙,130,exquisite,woman; few,女,1,exquisite,
省,131,focus,few; eye,目,1,focus,
厚,132,thick,cliff; sun; child,cliff|日|子,3,thick,
奇,133,strange,large; St. Bernard; can; mouth; street; nail; spike,口,1,strange,
川,134,stream,flood,,0,stream,
州,135,state,stream; flood; drops,,0,state,
順,136,obey,stream; flood; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,一|丶|貝|目|legs|split,6,obey,
水,137,water,,water,1,water,
氷,138,icicle,drop; water,丶|水,2,icicle,
永,139,eternity,drop; water,丶|水,2,eternity,
泉,140,spring,white; dove; water,水,1,spring,
腺,141,gland,moon; spring; white; dove; water,月|水,3,gland,
原,142,meadow,cliff; spring; white; dove; small; little,cliff|小,2,meadow,
願,143,petition,meadow; cliff; white; dove; small; little; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,cliff|小|一|丶|貝|目|legs|split,8,petition,
泳,144,swim,water; water droplets; water pistol; eternity,水,1,swim,
沼,145,marsh,water; water droplets; water pistol; summon; seduce; sword; dagger; mouth,水|口,2,marsh,
沖,146,open sea,water; water droplets; water pistol; in; stick; mouth,水|口,2,open sea,
汎,147,pan-,water; water droplets; water pistol; mediocre; wind; drop,水|丶,2,pan-,
江,148,creek,water; water droplets; water pistol; craft,水,1,creek,
汰,149,cleanse,water; water droplets; water pistol; plump; large; St. Bernard; drop,水|丶,2,cleanse,
汁,150,soup,water; water droplets; water pistol; ten; needle,水|十,2,soup,
沙,151,grains of sand,water; water droplets; water pistol; few,水,1,grains of sand,
潮,152,tide,water; water droplets; water pistol; morning; mist; ten; needle; early; sun; moon,水|十|日|月,5,tide,
源,153,source,water; water droplets; water pistol; meadow; cliff; sun; small; little,水|cliff|日|小,4,source,
活,154,lively,water; water droplets; water pistol; tongue; drop; old; tombstone; gravestone; church; ten; needle; mouth,水|丶|十|口,4,lively,
消,155,extinguish,water; water droplets; water pistol; resemblance; spark; candle; small; little; moon,水|小|月,4,extinguish,
