kanji,joyo_index,radical,strokes,grade,year_added,english_meaning,on_kana,on_romaji,kun_kana,kun_romaji,unicode,svg_file,heisig_number,heisig_keyword
亜,1,二,7,S,,"sub-, Asia",ア,a,,,u4e9c,u4e9c.svg,,
哀,2,口,9,S,,pathetic,アイ,ai,あわ-れ、あわ-れむ,"awa-re, awa-remu",u54c0,u54c0.svg,,
挨,3,手,10,S,2010,push open,アイ,ai,,,u6328,u6328.svg,,
愛,4,心,13,4,,love,アイ,ai,,,u611b,u611b.svg,,
曖,5,日,17,S,2010,not clear,アイ,ai,,,u66d6,u66d6.svg,,
悪,6,心,11,3,,bad,アク、オ,"aku, o",わる-い,waru-i,u60aa,u60aa.svg,,
握,7,手,12,S,,grip,アク,aku,にぎ-る,nigi-ru,u63e1,u63e1.svg,,
圧,8,土,5,5,,pressure,アツ,atsu,,,u5727,u5727.svg,,
扱,9,手,6,S,,handle,,,あつか-う,atsuka-u,u6271,u6271.svg,,
宛,10,宀,8,S,2010,allocate,,,あ-てる,a-teru,u5b9b,u5b9b.svg,,
嵐,11,山,12,S,2010,storm,,,あらし,arashi,u5d50,u5d50.svg,,
安,12,宀,6,3,,cheap,アン,an,やす-い,yasu-i,u5b89,u5b89.svg,,
案,13,木,10,4,,plan,アン,an,,,u6848,u6848.svg,,
暗,14,日,13,3,,dark,アン,an,くら-い,kura-i,u6697,u6697.svg,,
以,15,人,5,4,,by means of,イ,i,,,u4ee5,u4ee5.svg,,
衣,16,衣,6,4,,clothes,イ,i,ころも,koromo,u8863,u8863.svg,,
位,17,人,7,4,,rank,イ,i,くらい,kurai,u4f4d,u4f4d.svg,,
囲,18,囗,7,5,,surround,イ,i,かこ-む、かこ-う,"kako-mu, kako-u",u56f2,u56f2.svg,,
医,19,酉,7,3,,doctor,イ,i,,,u533b,u533b.svg,,
依,20,人,8,S,,reliant,イ、（エ）,"i, (e)",,,u4f9d,u4f9d.svg,,
委,21,女,8,3,,committee,イ,i,ゆだ-ねる,yuda-neru,u59d4,u59d4.svg,,
威,22,女,9,S,,intimidate,イ,i,,,u5a01,u5a01.svg,,
為,23,爪,9,S,,do,イ,i,,,u70ba,u70ba.svg,,
畏,24,田,9,S,2010,fear,イ,i,おそ-れる,oso-reru,u754f,u754f.svg,,
胃,25,肉,9,6,,stomach,イ,i,,,u80c3,u80c3.svg,,
尉,26,寸,11,S,,military officer,イ,i,,,u5c09,u5c09.svg,,
異,27,田,11,6,,uncommon,イ,i,こと,koto,u7570,u7570.svg,,
移,28,禾,11,5,,shift,イ,i,うつ-る、うつ-す,"utsu-ru, utsu-su",u79fb,u79fb.svg,,
萎,29,艸,11,S,2010,wither,イ,i,な-える,na-eru,u840e,u840e.svg,,
偉,30,人,12,S,,admirable,イ,i,えら-い,era-i,u5049,u5049.svg,,
椅,31,木,12,S,2010,chair,イ,i,,,u6905,u6905.svg,,
