kanji,joyo_index,heisig_number,strokes,grade,jlpt,slug,keyword_id,keyword,on_reading,kun_readings,category,k_code,joyo_rank,radical,radical_index,stroke_group,unicode,svg_file,reserved1,reserved2,status,lesson_start,lesson_end,book_number,image,display_keyword,frequency_rank,kml_primitives,cluster_components,collapse_to
一,41,1,1,1,N5,one,one,one,イチ,ひと-,joyo,K0041,41,1,3,1,U4E00,04e00.svg,,,draft,41–60,koi.png,,,,9,一,one,一
二,1577,2,2,1,N5,two,two,two,ニ,ふた,joyo,K1577,1577,4,79,17,U4E8C,04e8c.svg,,,draft,1561–1580,bamboo.png,,,,163,一|一,one|one,二
三,744,3,3,1,N5,three,three,three,サン,み,joyo,K0744,744,2,38,4,U4E09,04e09.svg,,,draft,741–760,castle.png,,,,114,一|一|一,one|one|one,三
四,767,4,5,1,N5,four,four,four,シ,よ,joyo,K0767,767,2,39,7,U56DB,056db.svg,,,draft,761–780,koi.png,,,,411,口|儿,mouth|legs,四
五,576,5,4,1,N5,five,five,five,ゴ,いつ,joyo,K0576,576,2,29,16,U4E94,04e94.svg,,,draft,561–580,mountain.png,,,,3031,五,five,五
六,2125,6,4,1,N5,six,six,six,ロク,む,joyo,K2125,2125,5,107,5,U516D,0516d.svg,,,draft,2121–2140,mountain.png,,,,743,亠|八,lid|eight,六
七,829,7,2,1,N5,seven,seven,seven,シチ,なな,joyo,K0829,829,2,42,9,U4E03,04e03.svg,,,draft,821–840,tree.png,,,,777,七,seven,七
八,1647,8,2,1,N5,eight,eight,eight,ハチ,や,joyo,K1647,1647,4,83,7,U516B,0516b.svg,,,draft,1641–1660,mountain.png,,,,465,八,eight,八
九,359,9,2,1,N5,nine,nine,nine,キュウ,ここの,joyo,K0359,359,1,18,19,U4E5D,04e5d.svg,,,draft,341–360,tree.png,,,,642,九,nine,九
十,907,10,2,1,N5,ten,ten,ten,ジュウ,とお,joyo,K0907,907,2,46,7,U5341,05341.svg,,,draft,901–920,kujira.png,,,,387,十,ten,十
口,587,11,3,1,N5,mouth,mouth,mouth,コウ,くち,joyo,K0587,587,2,30,7,U53E3,053e3.svg,,,draft,581–600,tree.png,,,,195,口,mouth,口
日,1583,12,4,1,N5,sun,sun,sun,ニチ,ひ,joyo,K1583,1583,4,80,3,U65E5,065e5.svg,,,draft,1581–1600,castle.png,,,,2,日,sun,日
月,513,13,4,1,N5,moon,moon,moon,ゲツ,つき,joyo,K0513,513,2,26,13,U6708,06708.svg,,,draft,501–520,castle.png,,,,3,月,moon,月
田,1480,14,5,1,N4,field,field,field,デン,た,joyo,K1480,1480,3,74,20,U7530,07530.svg,,,draft,1461–1480,castle.png,,,,29,田,field,田
目,1947,15,5,1,N5,eye,eye,eye,モク,め,joyo,K1947,1947,4,98,7,U76EE,076ee.svg,,,draft,1941–1960,castle.png,,,,49,目,eye,目
古,559,16,5,2,N5,old,old,old,コ,ふる-い,joyo,K0559,559,2,28,19,U53E4,053e4.svg,,,draft,541–560,kujira.png,,,,254,十|口,ten|mouth,古
吾,NA,17,7,H,N1,I,I,I,ゴ,われ,heisig_extra,K2137,2137,5,107,17,U543E,0543e.svg,,,draft,2121–2140,mountain.png,,,,1220,五|口,five|mouth,吾
冒,1862,18,9,S,N1,risk,risk,risk,ボウ,おか-す,joyo,K1862,1862,4,94,2,U5192,05192.svg,,,draft,1861–1880,kujira.png,,,,1181,日|目,day|eye,冒
朋,NA,19,8,2,N1,companion,companion,companion,ホウ,とも|なかま,joyo,K1928,1928,4,97,8,U670B,0670b.svg,,,draft,1921–1940,bamboo.png,,,,97,月|月,moon|moon,朋
明,476,20,8,2,N4,bright,bright,bright,メイ,あ-かり,joyo,K1928,1928,4,97,8,U660E,0660e.svg,,,draft,1921–1940,bamboo.png,,,,97,日|月,day|moon,明
昌,NA,25,8,H,N1,prosperous,prosperous,prosperous,ショウ,さかん,heisig_extra,K2139,2139,5,107,19,U660C,0660c.svg,,,draft,2121–2140,mountain.png,,,,1138,日|日,day|day,昌
唱,981,21,11,4,N1,chant,chant,chant,ショウ,とな-える,joyo,K0981,981,2,50,1,U5531,05531.svg,,,draft,981–1000,castle.png,,,,992,口|日|日,mouth|day|day,唱
晶,989,22,12,S,N1,sparkle,sparkle,sparkle,ショウ,,joyo,K0989,989,2,50,9,U6676,06676.svg,,,draft,981–1000,castle.png,,,,1370,日|日|日,day|day|day,晶
品,1729,23,9,3,N4,goods,goods,goods,ヒン,しな,joyo,K1729,1729,4,87,9,U54C1,054c1.svg,,,draft,1721–1740,koi.png,,,,138,口|口|口,mouth|mouth|mouth,品
呂,2110,24,7,S,N1,spine,spine,spine,ロ,せぼね,joyo,K2110,2110,5,106,10,U5442,05442.svg,,,draft,2101–2120,kujira.png,,,,1316,口|丶|口,mouth|drop|mouth,呂
早,1219,26,6,1,N4,early,early,early,ソウ,はや-い,joyo,K1219,1219,3,61,19,U65E9,065e9.svg,,,draft,1201–1220,bamboo.png,,,,652,日|十,day|ten,早
旭,NA,27,6,H,N1,rising_sun,rising_sun,rising_sun,キョク,あさひ,heisig_extra,K2140,2140,5,107,20,U65ED,065ed.svg,,,draft,2121–2140,mountain.png,,,,1301,九|日,nine|day,旭
世,1105,28,5,3,N4,generation,generation,generation,セイ,よ,joyo,K1105,1105,3,56,5,U4E16,04e16.svg,,,draft,1101–1120,castle.png,,,,91,十|十|一,ten|ten|one,世
胃,25,29,9,6,N3,stomach,stomach,stomach,イ,,joyo,K0025,25,1,2,5,U80C3,080c3.svg,,,draft,21–40,castle.png,,,,2118,田|月,field|moon,胃
旦,1334,30,5,S,N1,dawn,dawn,dawn,タン,あき-らか,joyo,K1334,1334,3,67,14,U65E6,065e6.svg,,,draft,1321–1340,bamboo.png,,,,1670,日|一,day|one,旦
胆,1338,31,9,S,N1,gallbladder,gallbladder,gallbladder,タン,きも,joyo,K1338,1338,3,67,18,U80C6,080c6.svg,,,draft,1321–1340,bamboo.png,,,,1979,月|旦,moon|dawn,胆
亘,NA,32,6,H,N1,span,span,span,コウ,わた-る,heisig_extra,K2141,2141,5,108,1,U4E98,04e98.svg,,,draft,2141–2160,tree.png,,,,2040,一|日|一,one|day|one,亘
凹,106,33,5,S,N1,concave,concave,concave,オウ,くぼ-む,joyo,K0106,106,1,6,6,U51F9,051f9.svg,,,draft,101–120,tree.png,,,,2512,concave,concave,凹
凸,1558,34,5,S,N1,convex,convex,convex,トツ,でこ,joyo,K1558,1558,4,78,18,U51F8,051f8.svg,,,draft,1541–1560,tree.png,,,,2430,convex,convex,凸
旧,364,35,5,5,N3,olden_times,olden_times,olden_times,キュウ,ふる-い,joyo,K0364,364,1,19,4,U65E7,065e7.svg,,,draft,361–380,bamboo.png,,,,426,丨|日,line|day,旧
自,811,36,6,2,N4,oneself,oneself,oneself,ジ,みずか-ら,joyo,K0811,811,2,41,11,U81EA,081ea.svg,,,draft,801–820,mountain.png,,,,60,丶|目,drop|eye,自
白,1630,37,5,1,N5,white,white,white,ハク,しろ,joyo,K1630,1630,4,82,10,U767D,0767d.svg,,,draft,1621–1640,kujira.png,,,,351,丶|日,drop|day,白
百,1716,38,6,1,N5,hundred,hundred,hundred,ヒャク,もも,joyo,K1716,1716,4,86,16,U767E,0767e.svg,,,draft,1701–1720,castle.png,,,,718,一|白,one|white,百
