kanji,keyword,lesson_number,kml_primitives,cluster_components,collapse_to,layout_type,first_use,notes
一,one,1,一,,,a,,pass2a: — -> a
二,two,1,一|一,,,a,,pass2a: v -> a
三,three,1,一|一|一,,,a,,pass2a: v -> a
四,four,1,口|儿,,,ei,,pass2a: e -> ei
五,five,1,五,,,a,,pass2a: v -> a
六,six,1,⼇|八,,,v,,
七,seven,1,七,,,a,,pass2a: — -> a
八,eight,1,八,,,a,,pass2a: — -> a
九,nine,1,九,,,a,,pass2a: — -> a
十,ten,1,十,,,a,,pass2a: — -> a
口,mouth,1,口,,,a,,pass2a: — -> a
日,day,1,日,,,a,,pass2a: — -> a
月,moon,1,月,,,a,,pass2a: — -> a
田,field,1,田,,,a,,pass2a: — -> a
目,eye,1,目,,,a,,pass2a: — -> a
古,old,1,十|口,,,v,,
吾,I,1,五|口,,,v,,
冒,risk,1,日|目,,,v,,
朋,companion,1,月|月,,,h,,
明,bright,1,日|月,,,h,,
昌,prosperous,2,,,,v,,
唱,chant,2,,,,h,,
晶,sparkle,2,,,,2t,,pass2a: v -> 2t
品,goods,2,,,,2t,,pass2a: v -> 2t
呂,spine,2,,,,v,,
早,early,2,,,,v,,
旭,rising_sun,2,,,,h,,pass2a: e -> h
世,generation,2,,,,a,,pass2a: — -> a
胃,stomach,2,,,,v,,
旦,dawn,2,,,,v,,
胆,gallbladder,2,,,,h,,
亘,span,2,,,,v,,
凹,concave,2,,,,a,,pass2a: — -> a
凸,convex,2,,,,a,,pass2a: — -> a
旧,olden_times,2,,,,h,,
自,oneself,2,,,,v,,pass2a: — -> v
白,white,2,,,,v,,pass2a: — -> v
百,hundred,2,,,,v,,
中,middle,2,,,,a,,pass2a: — -> a
千,thousand,2,,,,v,,
舌,tongue,3,,,,v,,
升,measuring_box,3,,,,a,,pass2a: v -> a
昇,rise,3,,,,v,,
丸,round,3,,,,h,,pass2a: — -> h
寸,measurement,3,,,,a,,pass2a: — -> a
肘,elbow,3,,,,h,,
専,specialty,3,,,,v,,
博,knowledgeable,3,,,,2r,,pass2a: h -> 2r
卜,signal,3,,,,a,,pass2a: — -> a
占,fortune_telling,3,,,,v,,
上,up,3,,,,v,,
下,below,3,,,,v,,
卓,eminent,3,,,,v,,
朝,morning,3,,,,2l,,pass2a: h -> 2l
嘲,derision,3,,,,h,,
只,only,3,,,,v,,
貝,shellfish,3,,,,v,,
唄,pop_song,3,,,,h,,
貞,virtue,3,,,,v,,
員,employee,3,,,,v,,
貼,post_a_bill,4,,,,h,,
見,see,4,,,,v,,
児,newborn,4,,,,v,,
元,beginning,4,,,,v,,
頁,page,4,,,,v,,pass2a: — -> v
頑,stubborn,4,,,,h,,
凡,mediocre,4,,,,ei,,pass2a: e -> ei
負,defeat,4,,,,v,,
万,ten_thousand,4,,,,a,,pass2a: v -> a
句,phrase,4,,,,ei,,pass2a: e -> ei
肌,texture,4,,,,h,,
旬,ten_days,4,,,,ei,,pass2a: e -> ei
勺,ladle,4,,,,ei,,pass2a: e -> ei
的,bulls_eye,4,,,,h,,
首,neck,4,,,,v,,
乙,fish_guts,4,,,,a,,pass2a: — -> a
乱,riot,4,,,,h,,
直,straightaway,4,,,,v,,
具,tool,4,,,,v,,
真,true,4,,,,v,,
工,craft,5,,,,a,,pass2a: — -> a
左,left,5,,,,h,,pass2a: e -> h
右,right,5,,,,h,,pass2a: e -> h
有,possess,5,,,,h,,pass2a: e -> h
賄,bribe,5,,,,h,,
貢,tribute,5,,,,v,,
項,paragraph,5,,,,h,,
刀,sword,5,,,,a,,pass2a: e -> a
刃,blade,5,,,,h,,pass2a: e -> h
切,cut,5,,,,h,,
召,seduce,5,,,,v,,
昭,shining,5,,,,h,,
則,rule,5,,,,h,,
副,vice,5,,,,h,,
別,separate,5,,,,h,,html suggests 2b
丁,street,5,,,,a,,pass2a: v -> a
町,town,5,,,,h,,
可,possible,5,,,,h,,pass2a: e -> h
頂,top,5,,,,h,,
子,child,153,,,,,,layout_type unknown in source
孔,cavity,6,,,,h,,
了,finish,6,,,,a,,pass2a: v -> a
女,woman,6,,,,a,,pass2a: — -> a
好,fond_of,6,,,,h,,
如,likeness,6,,,,h,,
母,mother,6,,,,a,,pass2a: — -> a
貫,pierce,6,,,,v,,
兄,older_brother,6,,,,v,,
呪,curse,6,,,,h,,
克,overcome,6,,,,v,,
小,small,6,,,,a,,pass2a: — -> a
少,few,6,,,,v,,
大,large,6,,,,a,,pass2a: — -> a
多,many,6,,,,v,,
夕,evening,6,,,,a,,pass2a: e -> a
汐,eventide,6,,,,h,,
外,outside,6,,,,h,,
名,name,6,,,,v,,
石,stone,6,,,,v,,pass2a: e -> v
肖,resemblance,6,,,,v,,
硝,nitrate,7,,,,h,,
砕,smash,7,,,,2r,,pass2a: h -> 2r
砂,sand,7,,,,h,,
妬,jealousy,7,,,,h,,
削,plane,7,,,,h,,
光,ray,7,,,,v,,
太,plump,7,,,,v,,pass2a: e -> v
器,utensil,7,,,,v,,
臭,stinking,7,,,,v,,
嗅,sniff,7,,,,h,,
妙,exquisite,7,,,,h,,
省,government_ministry,7,,,,v,,
厚,thick,7,,,,v,,pass2a: e -> v
奇,strange,7,,,,v,,
川,river,7,,,,a,,pass2a: — -> a
州,state,7,,,,h,,pass2a: — -> h
順,follow,7,,,,h,,
水,water,7,,,,a,,pass2a: h -> a
氷,ice,7,,,,v,,pass2a: — -> v
永,eternity,7,,,,v,,pass2a: — -> v
泉,spring,8,,,,v,,
腺,gland,8,,,,h,,
原,meadow,8,,,,ei,,pass2a: e -> ei
願,petition,8,,,,h,,
泳,swim,8,,,,h,,
沼,marsh,8,,,,h,,
沖,open_sea,8,,,,h,,
汎,general,8,,,,h,,
江,creek,8,,,,h,,
汰,cleanse,8,,,,h,,
汁,soup,8,,,,h,,
沙,grains_of_sand,8,,,,h,,
潮,tide,8,,,,h,,
源,source,8,,,,h,,
活,lively,8,,,,h,,
消,extinguish,8,,,,h,,
況,condition,8,,,,h,,
河,large_river,8,,,,h,,
泊,overnight,8,,,,h,,
湖,lake,8,,,,h,,
測,fathom,9,,,,h,,
土,soil,9,,,,a,,pass2a: v -> a
吐,spit,9,,,,h,,
圧,pressure,9,,,,ei,,pass2a: e -> ei
埼,cape,9,,,,h,,
垣,hedge,9,,,,h,,
填,inlay,9,,,,h,,
圭,jade,9,,,,v,,
封,seal,9,,,,h,,
涯,horizon,9,,,,h,,
寺,temple,9,,,,v,,
時,time,9,,,,h,,
均,level,9,,,,h,,
火,fire,9,,,,a,,pass2a: v -> a
炎,inflammation,9,,,,v,,
煩,anxiety,9,,,,h,,
淡,faint,9,,,,h,,
灯,lamp,9,,,,h,,
畑,farm,9,,,,h,,
災,disaster,9,,,,v,,
灰,ashes,10,,,,ei,,pass2a: e -> ei
