kanji,keyword,lesson_number,kml_primitives,cluster_components,collapse_to,layout_type,first_use,notes
一,one,1,一,一,,a,,pass2a: — -> a; pass4: harvested L01 HTML (一)
二,two,1,二,二,,a,,pass2a: v -> a; pass4: harvested L01 HTML (二)
三,three,1,三,三,,a,,pass2a: v -> a; pass4: harvested L01 HTML (三)
四,four,1,口|儿,口|儿,,ei,,pass2a: e -> ei; pass4: harvested L01 HTML (口|儿)
五,five,1,五,五,,a,,pass2a: v -> a; pass4: harvested L01 HTML (五)
六,six,1,⼇|ㇵ,⼇|ㇵ,,v,,pass4: harvested L01 HTML (⼇|ㇵ)
七,seven,1,七,七,,a,,pass2a: — -> a; pass4: harvested L01 HTML (七)
八,eight,1,八,八,,a,,pass2a: — -> a; pass4: harvested L01 HTML (八)
九,nine,1,九,九,,a,,pass2a: — -> a; pass4: harvested L01 HTML (九)
十,ten,1,十,十,,a,,pass2a: — -> a; pass4: harvested L01 HTML (十)
口,mouth,1,口,口,,a,,pass2a: — -> a; pass4: harvested L01 HTML (口)
日,day,1,日,日,,a,,pass2a: — -> a; pass4: harvested L01 HTML (日)
月,moon,1,月,月,,a,,pass2a: — -> a; pass4: harvested L01 HTML (月)
田,field,1,田,田,,a,,pass2a: — -> a; pass4: harvested L01 HTML (田)
目,eye,1,目,目,,a,,pass2a: — -> a; pass4: harvested L01 HTML (目)
古,old,1,十|口,十|口,,v,,pass4: harvested L01 HTML (十|口)
吾,I,1,五|口,五|口,,v,,pass4: harvested L01 HTML (五|口)
冒,risk,1,日|目,日|目,,v,,pass4: harvested L01 HTML (日|目)
朋,companion,1,月|月,月|月,,h,,pass4: harvested L01 HTML (月|月)
明,bright,1,日|月,日|月,,h,,pass4: harvested L01 HTML (日|月)
昌,prosperous,2,日|日,日|日,,v,,pass4: harvested L02 HTML (日|日)
唱,chant,2,口|昌,口|昌,,h,,pass4: harvested L02 HTML (口|昌)
晶,sparkle,2,日|日|日,日|日|日,,2t,,pass2a: v -> 2t; pass4: harvested L02 HTML (日|日|日)
品,goods,2,口|口|口,口|口|口,,2t,,pass2a: v -> 2t; pass4: harvested L02 HTML (口|口|口)
呂,spine,2,口|口,口|口,,v,,pass4: harvested L02 HTML (口|口)
早,early,2,日|十,日|十,,v,,pass4: harvested L02 HTML (日|十)
旭,rising_sun,2,九|日,九|日,,h,,pass2a: e -> h; pass4: harvested L02 HTML (九|日)
世,generation,2,世,世,,a,,pass2a: — -> a; pass4: harvested L02 HTML (世)
胃,stomach,2,田|月,田|月,,v,,pass4: harvested L02 HTML (田|月)
旦,dawn,2,日|一,日|一,,v,,pass4: harvested L02 HTML (日|一)
胆,gallbladder,2,月|旦,月|旦,,h,,pass4: harvested L02 HTML (月|旦)
亘,span,2,一|旦,一|旦,,v,,pass4: harvested L02 HTML (一|旦)
凹,concave,2,凹,凹,,a,,pass2a: — -> a; pass4: harvested L02 HTML (凹)
凸,convex,2,凸,凸,,a,,pass2a: — -> a; pass4: harvested L02 HTML (凸)
旧,olden_times,2,日,日,,h,,pass4: harvested L02 HTML (日)
自,oneself,2,´|目,´|目,,v,,pass2a: — -> v; pass4: harvested L02 HTML (´|目)
白,white,2,´|日,´|日,,v,,pass2a: — -> v; pass4: harvested L02 HTML (´|日)
百,hundred,2,一|白,一|白,,v,,pass4: harvested L02 HTML (一|白)
中,middle,2,中,中,,a,,pass2a: — -> a; pass4: harvested L02 HTML (中)
千,thousand,2,´|十,´|十,,v,,pass4: harvested L02 HTML (´|十)
舌,tongue,3,千|口,千|口,,v,,pass4: harvested L03 HTML (千|口)
升,measuring_box,3,升,升,,a,,pass2a: v -> a; pass4: harvested L03 HTML (升)
昇,rise,3,日|升,日|升,,v,,pass4: harvested L03 HTML (日|升)
丸,round,3,丶|九,丶|九,,h,,pass2a: — -> h; pass4: harvested L03 HTML (丶|九)
寸,measurement,3,寸,寸,,a,,pass2a: — -> a; pass4: harvested L03 HTML (寸)
肘,elbow,3,月|寸,月|寸,,h,,pass4: harvested L03 HTML (月|寸)
専,specialty,3,十|田|寸,十|田|寸,,v,,pass4: harvested L03 HTML (十|田|寸)
博,knowledgeable,3,十|丶|専,十|丶|専,,2r,,pass2a: h -> 2r; pass4: harvested L03 HTML (十|丶|専)
卜,signal,3,卜,卜,,a,,pass2a: — -> a; pass4: harvested L03 HTML (卜)
占,fortune_telling,3,卜|口,卜|口,,v,,pass4: harvested L03 HTML (卜|口)
上,up,3,卜|一,卜|一,,v,,pass4: harvested L03 HTML (卜|一)
下,below,3,一|卜,一|卜,,v,,pass4: harvested L03 HTML (一|卜)
卓,eminent,3,卜|早,卜|早,,v,,pass4: harvested L03 HTML (卜|早)
朝,morning,3,十|早|月,十|早|月,,2l,,pass2a: h -> 2l; pass4: harvested L03 HTML (十|早|月)
嘲,derision,3,口|朝,口|朝,,h,,pass4: harvested L03 HTML (口|朝)
只,only,3,口|ㇵ,口|ㇵ,,v,,pass4: harvested L03 HTML (口|ㇵ)
貝,shellfish,3,目|ㇵ,目|ㇵ,,v,,pass4: harvested L03 HTML (目|ㇵ)
唄,pop_song,3,口|貝,口|貝,,h,,pass4: harvested L03 HTML (口|貝)
貞,virtue,3,卜|貝,卜|貝,,v,,pass4: harvested L03 HTML (卜|貝)
員,employee,3,口|貝,口|貝,,v,,pass4: harvested L03 HTML (口|貝)
貼,post_a_bill,4,貝|占,貝|占,,h,,pass4: harvested L04 HTML (貝|占)
見,see,4,目|儿,目|儿,,v,,pass4: harvested L04 HTML (目|儿)
児,newborn,4,旧|儿,旧|儿,,v,,pass4: harvested L04 HTML (旧|儿)
元,beginning,4,二|儿,二|儿,,v,,pass4: harvested L04 HTML (二|儿)
頁,page,4,百|ㇵ,百|ㇵ,,v,,pass2a: — -> v; pass4: harvested L04 HTML (百|ㇵ)
頑,stubborn,4,元|頁,元|頁,,h,,pass4: harvested L04 HTML (元|頁)
凡,mediocre,4,几|丶,几|丶,,ei,,pass2a: e -> ei; pass4: harvested L04 HTML (几|丶)
負,defeat,4,𠂊|貝,𠂊|貝,,v,,pass4: harvested L04 HTML (𠂊|貝)
万,ten_thousand,4,万,万,,a,,pass2a: v -> a; pass4: harvested L04 HTML (万)
句,phrase,4,勹|口,勹|口,,ei,,pass2a: e -> ei; pass4: harvested L04 HTML (勹|口)
肌,texture,4,月|几,月|几,,h,,pass4: harvested L04 HTML (月|几)
旬,ten_days,4,勹|日,勹|日,,ei,,pass2a: e -> ei; pass4: harvested L04 HTML (勹|日)
勺,ladle,4,勹|丶,勹|丶,,ei,,pass2a: e -> ei; pass4: harvested L04 HTML (勹|丶)
的,bulls_eye,4,白|勺,白|勺,,h,,pass4: harvested L04 HTML (白|勺)
首,neck,4,丷|一|自,丷|一|自,,v,,pass4: harvested L04 HTML (丷|一|自)
乙,fish_guts,4,乙,乙,,a,,pass2a: — -> a; pass4: harvested L04 HTML (乙)
乱,riot,4,舌|乚,舌|乚,,h,,pass4: harvested L04 HTML (舌|乚)
直,straightaway,4,十|目,十|目,,v,,pass4: harvested L04 HTML (十|目)
具,tool,4,目|一|ㇵ,目|一|ㇵ,,v,,pass4: harvested L04 HTML (目|一|ㇵ)
真,true,4,十|具,十|具,,v,,pass4: harvested L04 HTML (十|具)
工,craft,5,工,工,,a,,pass2a: — -> a; pass4: harvested L05 HTML (工)
左,left,5,𠂇|エ,𠂇|エ,,h,,pass2a: e -> h; pass4: harvested L05 HTML (𠂇|エ)
右,right,5,𠂇|口,𠂇|口,,h,,pass2a: e -> h; pass4: harvested L05 HTML (𠂇|口)
有,possess,5,𠂇|月,𠂇|月,,h,,pass2a: e -> h; pass4: harvested L05 HTML (𠂇|月)
賄,bribe,5,貝|有,貝|有,,h,,pass4: harvested L05 HTML (貝|有)
