symbol,preferred_name,alternate_name,first_use,first_kanji,status,notes
⼇,,,lesson_01,六,primitive_only,"used in 10 parents; sources=csv:kml_primitives,html"
ㇵ,,,lesson_01,六,primitive_only,used in 5 parents; sources=html
一,,,lesson_01,一,verified,"used in 13 parents; sources=csv:kml_primitives,html"
七,,,lesson_01,七,verified,"used in 2 parents; sources=csv:kml_primitives,html"
九,,,lesson_01,九,verified,"used in 6 parents; sources=csv:kml_primitives,html"
五,,,lesson_01,吾,verified,"used in 2 parents; sources=csv:kml_primitives,html"
儿,,,lesson_01,四,primitive_only,"used in 7 parents; sources=csv:kml_primitives,html"
八,,,lesson_01,六,verified,used in 2 parents; sources=csv:kml_primitives
十,,,lesson_01,古,verified,"used in 17 parents; sources=csv:kml_primitives,html"
口,,,lesson_01,四,verified,"used in 44 parents; sources=csv:kml_primitives,html"
日,,,lesson_01,冒,verified,"used in 30 parents; sources=csv:kml_primitives,html"
月,,,lesson_01,朋,verified,"used in 19 parents; sources=csv:kml_primitives,html"
田,,,lesson_01,田,verified,"used in 9 parents; sources=csv:kml_primitives,html"
目,,,lesson_01,冒,verified,"used in 10 parents; sources=csv:kml_primitives,html"
´,,,lesson_02,自,primitive_only,used in 4 parents; sources=html
世,,,lesson_02,世,verified,used in 2 parents; sources=html
凸,,,lesson_02,凸,verified,sources=html
凹,,,lesson_02,凹,verified,sources=html
旦,,,lesson_02,胆,verified,used in 3 parents; sources=html
昌,,,lesson_02,唱,verified,sources=html
白,,,lesson_02,百,verified,used in 8 parents; sources=html
丶,,,lesson_03,丸,primitive_only,used in 13 parents; sources=html
千,,,lesson_03,舌,verified,sources=html
升,,,lesson_03,升,verified,used in 2 parents; sources=html
卜,,,lesson_03,卜,verified,used in 10 parents; sources=html
寸,,,lesson_03,寸,verified,used in 10 parents; sources=html
専,,,lesson_03,博,verified,used in 2 parents; sources=html
早,,,lesson_03,卓,verified,used in 3 parents; sources=html
朝,,,lesson_03,嘲,verified,used in 2 parents; sources=html
貝,,,lesson_03,唄,verified,used in 12 parents; sources=html
万,,,lesson_04,万,verified,sources=html
丷,,,lesson_04,首,primitive_only,used in 2 parents; sources=html
乙,,,lesson_04,乙,verified,sources=html
乚,,,lesson_04,乱,primitive_only,used in 3 parents; sources=html
二,,,lesson_04,元,verified,sources=html
元,,,lesson_04,頑,verified,used in 4 parents; sources=html
具,,,lesson_04,真,verified,sources=html
几,,,lesson_04,凡,primitive_only,used in 6 parents; sources=html
勹,,,lesson_04,句,primitive_only,used in 3 parents; sources=html
勺,,,lesson_04,的,verified,used in 2 parents; sources=html
占,,,lesson_04,貼,verified,used in 2 parents; sources=html
旧,,,lesson_04,児,verified,sources=html
百,,,lesson_04,頁,verified,sources=html
自,,,lesson_04,首,verified,used in 2 parents; sources=html
舌,,,lesson_04,乱,verified,used in 3 parents; sources=html
頁,,,lesson_04,頑,verified,used in 9 parents; sources=html
𠂊,,,lesson_04,負,primitive_only,used in 2 parents; sources=html
エ,,,lesson_05,左,primitive_only,used in 6 parents; sources=html
丁,,,lesson_05,丁,verified,used in 8 parents; sources=html
刀,,,lesson_05,刀,verified,used in 7 parents; sources=html
刂,,,lesson_05,則,primitive_only,used in 5 parents; sources=html
召,,,lesson_05,昭,verified,used in 4 parents; sources=html
子,,,lesson_05,子,verified,used in 7 parents; sources=html
工,,,lesson_05,工,verified,sources=html
有,,,lesson_05,賄,verified,sources=html
畐,,,lesson_05,副,primitive_only,used in 3 parents; sources=html
𠂇,,,lesson_05,左,primitive_only,used in 4 parents; sources=html
⺌,,,lesson_06,肖,primitive_only,used in 2 parents; sources=html
ノ,,,lesson_06,少,primitive_only,sources=html
了,,,lesson_06,了,verified,sources=html
兄,,,lesson_06,呪,verified,used in 3 parents; sources=html
厂,,,lesson_06,石,primitive_only,used in 9 parents; sources=html
夕,,,lesson_06,夕,verified,used in 7 parents; sources=html
大,,,lesson_06,大,verified,used in 11 parents; sources=html
女,,,lesson_06,女,verified,used in 11 parents; sources=html
小,,,lesson_06,小,verified,used in 3 parents; sources=html
母,,,lesson_06,母,verified,used in 2 parents; sources=html
氵,,,lesson_06,汐,primitive_only,used in 34 parents; sources=html
可,,,lesson_07,奇,verified,used in 3 parents; sources=html
少,,,lesson_07,砂,verified,used in 5 parents; sources=html
川,,,lesson_07,川,verified,used in 4 parents; sources=html
水,,,lesson_07,水,verified,used in 3 parents; sources=html
氷,,,lesson_07,永,verified,sources=html
石,,,lesson_07,硝,verified,used in 5 parents; sources=html
肖,,,lesson_07,硝,verified,used in 5 parents; sources=html
臭,,,lesson_07,嗅,verified,sources=html
中,,,lesson_08,沖,verified,sources=html
凡,,,lesson_08,汎,verified,used in 2 parents; sources=html
原,,,lesson_08,願,verified,used in 2 parents; sources=html
太,,,lesson_08,汰,verified,sources=html
永,,,lesson_08,泳,verified,used in 2 parents; sources=html
泉,,,lesson_08,腺,verified,used in 2 parents; sources=html
胡,,,lesson_08,湖,verified,future-kanji-link in HTML; sources=html
亘,,,lesson_09,垣,verified,used in 2 parents; sources=html
則,,,lesson_09,測,verified,sources=html
匀,,,lesson_09,均,primitive_only,sources=html
土,,,lesson_09,土,verified,used in 25 parents; sources=html
圭,,,lesson_09,封,verified,used in 3 parents; sources=html
奇,,,lesson_09,埼,verified,used in 3 parents; sources=html
寺,,,lesson_09,時,verified,used in 3 parents; sources=html
巛,,,lesson_09,災,primitive_only,used in 2 parents; sources=html
火,,,lesson_09,火,verified,used in 10 parents; sources=html
炎,,,lesson_09,淡,verified,used in 2 parents; sources=html
真,,,lesson_09,填,verified,used in 2 parents; sources=html
冂,,,lesson_10,同,primitive_only,used in 3 parents; sources=html
同,,,lesson_10,洞,verified,used in 4 parents; sources=html
向,,,lesson_10,向,verified,sources=html
宀,,,lesson_10,字,primitive_only,used in 15 parents; sources=html
尚,,,lesson_10,尚,verified,sources=html
昭,,,lesson_10,照,verified,sources=html
灬,,,lesson_10,点,primitive_only,used in 8 parents; sources=html
田｜,,,lesson_10,魚,hidden_component,sources=html
里,,,lesson_10,黒,verified,used in 7 parents; sources=html
魚,,,lesson_10,漁,verified,used in 3 parents; sources=html
黒,,,lesson_10,墨,verified,sources=html
古,,,lesson_11,枯,verified,used in 3 parents; sources=html
朋,,,lesson_11,棚,verified,sources=html
木,,,lesson_11,木,verified,used in 35 parents; sources=html
直,,,lesson_11,植,verified,sources=html
右,,,lesson_12,若,verified,sources=html
品,,,lesson_12,燥,verified,sources=html
未,,,lesson_12,未,verified,used in 5 parents; sources=html
末,,,lesson_12,末,verified,used in 2 parents; sources=html
本,,,lesson_12,本,verified,used in 2 parents; sources=html
朱,,,lesson_12,株,verified,used in 2 parents; sources=html
艹,,,lesson_12,若,primitive_only,used in 23 parents; sources=html
丬,,,lesson_13,状,primitive_only,used in 2 parents; sources=html
兆,,,lesson_13,兆,verified,used in 4 parents; sources=html
守,,,lesson_13,狩,verified,sources=html
犬,,,lesson_13,状,verified,used in 4 parents; sources=html
犭,,,lesson_13,荻,primitive_only,used in 6 parents; sources=html
苗,,,lesson_13,猫,verified,sources=html
見,,,lesson_13,寛,verified,used in 3 parents; sources=html
ニ,,,lesson_14,脊,primitive_only,used in 2 parents; sources=html
人,,,lesson_14,茶,verified,used in 6 parents; sources=html
介,,,lesson_14,介,verified,used in 2 parents; sources=html
先,,,lesson_14,洗,verified,used in 2 parents; sources=html
合,,,lesson_14,塔,verified,sources=html
牛,,,lesson_14,牛,verified,used in 5 parents; sources=html
玉,,,lesson_14,宝,verified,sources=html
王,,,lesson_14,王,verified,used in 12 parents; sources=html
主,,,lesson_15,注,verified,used in 2 parents; sources=html
全,,,lesson_15,栓,verified,used in 2 parents; sources=html
卂,,,lesson_15,迅,primitive_only,sources=html
名,,,lesson_15,銘,verified,sources=html
告,,,lesson_15,造,verified,sources=html
辶,,,lesson_15,道,primitive_only,used in 11 parents; sources=html
道,,,lesson_15,導,verified,sources=html
金,,,lesson_15,金,verified,used in 12 parents; sources=html
首,,,lesson_15,道,verified,sources=html
俞,,,lesson_16,輸,hidden_component,used in 2 parents; sources=html
兪,,,lesson_16,喩,primitive_only,sources=html
前,,,lesson_16,煎,verified,sources=html
各,,,lesson_16,格,verified,used in 5 parents; sources=html
夂,,,lesson_16,各,hidden_component,future-kanji-link in HTML; used in 13 parents; sources=html
客,,,lesson_16,額,verified,sources=html
車,,,lesson_16,車,verified,used in 6 parents; sources=html
丸,,,lesson_17,塾,verified,used in 2 parents; sources=html
享,,,lesson_17,塾,verified,used in 2 parents; sources=html
京,,,lesson_17,涼,verified,used in 3 parents; sources=html
光,,,lesson_17,輝,verified,used in 2 parents; sources=html
六,,,lesson_17,冥,verified,sources=html
冖,,,lesson_17,冗,primitive_only,used in 6 parents; sources=html
吉,,,lesson_17,周,verified,used in 2 parents; sources=html
罒,,,lesson_17,夢,primitive_only,used in 3 parents; sources=html
軍,,,lesson_17,輝,verified,used in 2 parents; sources=html
冗,,,lesson_18,売,verified,sources=html
句,,,lesson_18,敬,verified,sources=html
周,,,lesson_18,週,verified,used in 2 parents; sources=html
士,,,lesson_18,士,verified,used in 4 parents; sources=html
壮,,,lesson_18,荘,verified,used in 2 parents; sources=html
聿,,,lesson_18,書,primitive_only,used in 3 parents; sources=html
苟,,,lesson_18,警,verified,future-kanji-link in HTML; sources=html
言,,,lesson_18,言,verified,future-kanji-link in HTML; used in 24 parents; sources=html
吾,,,lesson_19,語,verified,sources=html
売,,,lesson_19,読,verified,sources=html
式,,,lesson_19,試,verified,used in 2 parents; sources=html
戈,,,lesson_19,式,hidden_component,used in 14 parents; sources=html
若,,,lesson_19,諾,verified,sources=html
力,,,lesson_20,成,verified,sources=html
成,,,lesson_20,城,verified,used in 2 parents; sources=html
戔,,,lesson_20,桟,primitive_only,used in 3 parents; sources=html
止,,,lesson_20,止,verified,used in 6 parents; sources=html
歩,,,lesson_20,渉,verified,used in 2 parents; sources=html
赤,,,lesson_20,戚,verified,sources=html
定,,,lesson_21,錠,verified,sources=html
廴,,,lesson_21,建,primitive_only,used in 3 parents; sources=html
建,,,lesson_21,鍵,verified,sources=html
戉,,,lesson_21,越,verified,future-kanji-link in HTML; sources=html
是,,,lesson_21,題,verified,used in 2 parents; sources=html
正,,,lesson_21,正,verified,used in 4 parents; sources=html
武,,,lesson_21,賦,verified,sources=html
疋,,,lesson_21,定,verified,used in 4 parents; sources=html
走,,,lesson_21,超,verified,used in 3 parents; sources=html
冒,,,lesson_22,帽,verified,sources=html
巾,,,lesson_22,巾,verified,used in 7 parents; sources=html
延,,,lesson_22,誕,verified,sources=html
楚,,,lesson_22,礎,verified,future-kanji-link in HTML; sources=html
衣,,,lesson_22,裁,verified,used in 6 parents; sources=html
衤,,,lesson_22,初,primitive_only,sources=html
袁,,,lesson_22,遠,hidden_component,used in 2 parents; sources=html
𧘇,,,lesson_22,衣,primitive_only,sources=html
